title_id,genre,sort_code,weekdays,length,subscribers,rating,views,likes,status,daily_pass,title,authors,synopsis,weekdays_all,sort_code_likes,sort_code_subscribers,sort_code_rating,sort_code_views
2470,THRILLER,66,SUNDAY,7,250929,9.79,8487175,1046083,COMPLETED,TRUE,Delusion,Hongjacga,"It??s 1935 in Gyeongseong, and struggling artist Iho Yun has been commissioned by the reclusive, elderly Madam Jeonghwa Song to paint a portrait. Madam Jeonghwa Song allows Iho to set eyes upon her -- an unprecedented event -- and standing before him is a young woman. But why does she ask him to paint an elderly version of her? ??Don??t finish the portrait.??Tucked between the previous artist??s paint tubes is an ominous letter. Iho learns that no artist has left Madam Song??s abode alive or of sound mind. Just what is she hiding and what will happen if Iho finishes the portrait?
","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",66,68,19,75
3064,DRAMA,69,SUNDAY,9,255682,9.45,8042255,939311,COMPLETED,TRUE,My ID is Gangnam Beauty!,Maenggi Ki,"A new school, new friends, new romance, and a new face?! After going through major plastic surgery, freshman Mirae is ready for a fresh start. At her university, she becomes recognized as a pretty yet somewhat unnatural ??Gangnam beauty.??However, all Mirae wants is to have a normal campus life without being judged by her looks. Will she be able to adjust well to the new environment and find the courage to live the life of her dreams?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",69,66,93,76
3453,ACTION,77,SUNDAY,26,340896,9.61,7816175,729894,ONGOING,FALSE,The Druid of Seoul Station,"liveBear,Mun sung ho,Jin Seol woo","What started out as an ordinary day turned upside down when an unknown catastrophe struck Earth, transporting Suho Park to a different planet. He eventually learns how to adapt and fight for his survival in this foreign world, but one day, just as suddenly as he was sucked into this new planet, Suho is pulled back to Earth. He quickly learns that return to life as he remembers it is no longer possible, as Earth is in constant battle with monsters who??ve managed to infiltrate the planet. How will Suho fight against the monsters attacking Earth, and will he be able to survive this time with his current skills?",SUNDAY,77,53,65,77
3182,SUPERNATURAL,68,SUNDAY,34,343064,9.33,7763707,939651,ONGOING,FALSE,Evelyne and the Occult,InksOwl comics,"Enamored with the occult and the supernatural, young Evelyne is determined to make contact with whatever might be hiding beyond this world. Little does she know, this dark path will lead her far beyond her wildest dreams. Join Evie and her friends Leo, Ana and Sam on their fun and spooky adventures and see how far their curiosity will lead them.",SUNDAY,68,51,104,78
608,ACTION,109,SUNDAY,10,391842,9.83,7720295,316487,COMPLETED,FALSE,Noblesse Rai's Adventure,"Jeho Son,Kwangsu Lee","Rai, the noblest of all vampires, wakes up from 820-years long sleep and starts his new life as a student in a high school founded by his loyal servant, Frankenstein. But his peaceful days with other human students are soon interrupted by mysterious attackers known as the ""Unions"".","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",109,47,8,79
3113,ROMANCE,70,SUNDAY,7,285770,9.35,7144238,924350,COMPLETED,TRUE,My Universe,"gongyi,moonkyoung kim","As a socially awkward college student, Hayeon lives a pretty boring life -- except she can communicate with outer space. One day, she meets Ujun, an alien who is curious about human nature. When she rejects his request to ??borrow??her body, he takes over the body of her crush! As Hayeon helps Ujun adjust to human life, their friendship blossoms into something more. However, their love story faces many obstacles, including an alien plotting to invade Earth. What will be the fate of these star-crossed lovers?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",70,62,101,80
437,COMEDY,116,SUNDAY,110,48304,8.89,6852149,255515,COMPLETED,FALSE,1111 Animals,1111,The secret lives of animals,SUNDAY,116,138,130,81
294,SLICE_OF_LIFE,98,SUNDAY,161,90370,9.32,6500300,425775,COMPLETED,FALSE,A Bittersweet Life,Donggeon Lee,"A collection of sweet stories about couples and singles, office workers and unemployed people. 
But be warned: there??s more than a touch of bitterness here. ","SATURDAY,SUNDAY",98,115,107,82
2503,THRILLER,79,SUNDAY,7,220338,9.55,6235547,696775,COMPLETED,TRUE,Dear X,VANZIUN,"Ajin Baek is an actress at the top of her game. She has everything. She??s a beautiful, award-winning actress, the public loves her, and she??s about to announce that she??s getting married. But on the night of the award ceremony, a news program exposes the darkness behind Ajin??s glittery exterior. Just how far was Ajin willing to go to get to where she is now?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",79,72,74,83
3690,FANTASY,83,SUNDAY,15,380833,9.69,6195929,635622,ONGOING,FALSE,The Lone Necromancer,"JJJ,KIM KYOUNG-YEOL,KIM DONG-JUN","Seongwu is a former special forces soldier who has returned to college after completing his national service. His ordinary life as a student is shattered during class one day when he and his fellow students are faced with a mysterious prompt asking them to ??select a role.??Seongwu chooses the necromancer, a rare ability that grants him the power to control the undead. With the campus and outside world seemingly on the brink of collapse, Seongwu must use his newfound powers to battle fearsome monsters and help save his fellow students. But will they make it out alive?
",SUNDAY,83,48,47,84
